﻿Χρόνος Γένεσης (GMT),Γεωγρ.Πλάτος,Γεωγρ.Μήκος,Βάθος (χμ),Μέγεθος (ML),Επίκεντρο,Απόσταση (χμ) από το κέντρο (Γ.Πλ.:35.1571  Γ.Μήκ.:25.2483)
﻿2021/10/16 12:34:34,35.20,25.31,8,1.2,21.7 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/16 12:04:45,35.19,25.31,7,1.8,22.2 χμ ΝΑ του Ηρακλείου,7.1
﻿2021/10/16 11:43:58,35.22,25.31,7,2.8,20.2 χμ ΝΑ του Ηρακλείου,9.4
﻿2021/10/16 11:41:00,35.24,25.30,8,2.8,18.3 χμ ΑΝΑ του Ηρακλείου,10.0
﻿2021/10/16 11:28:41,35.11,25.24,23,2.3,25.4 χμ ΝΝΑ του Ηρακλείου,4.9
﻿2021/10/16 10:59:27,35.16,25.24,33,2.2,21.0 χμ ΝΝΑ του Ηρακλείου,0.9
﻿2021/10/16 10:51:29,35.12,25.20,23,2.4,23.9 χμ ΝΝΑ του Ηρακλείου,6.3
﻿2021/10/16 10:28:57,35.12,25.25,26,1.8,25.1 χμ ΝΝΑ του Ηρακλείου,4.0
﻿2021/10/16 10:24:04,35.13,25.22,9,2.2,22.8 χμ ΝΝΑ του Ηρακλείου,3.4
﻿2021/10/16 10:20:40,35.11,25.22,22,2.2,24.9 χμ ΝΝΑ του Ηρακλείου,5.7
﻿2021/10/16 10:16:41,35.11,25.24,24,2.0,26.2 χμ ΝΝΑ του Ηρακλείου,5.6
﻿2021/10/16 09:50:51,35.11,25.23,25,2.2,25.6 χμ ΝΝΑ του Ηρακλείου,5.5
﻿2021/10/16 09:46:26,35.10,25.23,21,2.5,26.2 χμ ΝΝΑ του Ηρακλείου,6.2
﻿2021/10/16 09:34:55,35.12,25.25,24,1.6,25.6 χμ ΝΝΑ του Ηρακλείου,4.7
﻿2021/10/16 09:26:05,35.11,25.23,18,2.0,25.2 χμ ΝΝΑ του Ηρακλείου,4.9
﻿2021/10/16 09:17:41,35.16,25.19,15,1.5,19.3 χμ ΝΝΑ του Ηρακλείου,5.4
﻿2021/10/16 08:59:54,35.12,25.22,6,1.4,24.6 χμ ΝΝΑ του Ηρακλείου,5.1
﻿2021/10/16 08:49:21,35.11,25.25,24,2.1,26.5 χμ ΝΝΑ του Ηρακλείου,5.6
﻿2021/10/16 08:07:40,35.19,25.26,11,3.0,19.1 χμ ΝΑ του Ηρακλείου,3.4
﻿2021/10/16 07:13:10,35.17,25.32,6,1.7,24.5 χμ ΝΑ του Ηρακλείου,6.7
﻿2021/10/16 06:56:41,35.19,25.31,7,2.0,21.9 χμ ΝΑ του Ηρακλείου,6.4
﻿2021/10/16 06:40:38,35.12,25.26,6,2.0,25.5 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/16 05:56:58,35.14,25.21,10,2.6,21.6 χμ ΝΝΑ του Ηρακλείου,3.8
﻿2021/10/16 05:55:10,35.15,25.21,9,2.1,20.8 χμ ΝΝΑ του Ηρακλείου,3.6
﻿2021/10/16 05:50:58,35.20,25.33,6,1.7,22.9 χμ ΝΑ του Ηρακλείου,9.0
﻿2021/10/16 05:14:57,35.18,25.26,10,2.1,20.0 χμ ΝΑ του Ηρακλείου,3.0
﻿2021/10/16 05:07:31,35.19,25.30,8,2.5,21.6 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/16 05:04:22,35.19,25.31,6,2.0,21.9 χμ ΝΑ του Ηρακλείου,6.6
﻿2021/10/16 04:57:36,35.21,25.31,8,3.5,20.7 χμ ΝΑ του Ηρακλείου,7.9
﻿2021/10/16 04:36:55,35.12,25.23,8,1.8,24.3 χμ ΝΝΑ του Ηρακλείου,4.0
﻿2021/10/16 04:28:00,35.16,25.30,6,2.3,24.0 χμ ΝΑ του Ηρακλείου,5.1
﻿2021/10/16 04:08:19,35.20,25.32,6,1.3,22.0 χμ ΝΑ του Ηρακλείου,7.8
﻿2021/10/16 03:10:52,35.11,25.23,7,1.7,26.0 χμ ΝΝΑ του Ηρακλείου,5.9
﻿2021/10/16 02:16:35,35.14,25.21,10,1.7,21.4 χμ ΝΝΑ του Ηρακλείου,3.4
﻿2021/10/16 00:56:09,35.19,25.31,7,1.6,22.4 χμ ΝΑ του Ηρακλείου,6.8
﻿2021/10/16 00:36:29,35.14,25.22,12,2.0,21.8 χμ ΝΝΑ του Ηρακλείου,3.3
﻿2021/10/16 00:19:38,35.13,25.21,11,2.7,22.6 χμ ΝΝΑ του Ηρακλείου,4.6
